Japanese,English
何,what
あ,a
あなた,you
言,Word
行,line
人,Man
知,Knowledge
事,case
彼女,she
お前,you
話,Story
来,Coming
分か,Division
者,person
聞,Hearing
死,death
時,Time
殺,Murder
前,Before
中,During ~
達 ,Daiser
必要 ,need 
あの ,That
気 ,air 
大丈夫 ,Are you okay 
自分,myself
持 ,Holding
本当,TRUE
時間 ,Time
我々 ,we 
的 ,Intended
無 ,Nothing 
ありがとう ,thank you 
家 ,House 
会 ,Meeting
日,Day
年 ,Year 
仕事 ,work 
手 ,hand 
一緒 ,together 
後 ,After
出来 ,Good
他 ,other 
入 ,Entering
電話,phone
目,eye
様,Mr.
分,Part
車,car
所,Place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Religion
少し,a bit
使,Use
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物 ,thing 
女,woman
呼 ,Call
生き ,Life
あれ ,that 
止め ,Stop
心配 ,anxiety 
母 ,mother 
連れ ,Companion
関係 ,relationship 
外 ,Outside
家族 ,family 
起き ,Rising
意味 ,meaning 
神 ,God
警察 ,Police
力 ,Power 
最後 ,last 
作 ,Work
次 ,Next 
息子 ,son 
取 ,Take
全部 ,All
間 ,while 
書 ,book 
捜査 ,Investigation
